id;start_date;end_date;language
1;2022-04-07T16:08:56;2022-04-07T13:59:11;ENGLISH
2;2022-04-07T01:36:31;2022-04-07T11:02:00;FRENCH
3;2022-04-07T11:32:43;2022-04-06T23:37:51;SPANISH
4;2022-04-07T16:03:32;2022-04-06T21:29:51;FRENCH
5;2022-04-07T18:19:55;2022-04-07T02:38:53;ENGLISH
6;2022-04-07T03:50:38;2022-04-07T17:50:58;SPANISH
7;2022-04-07T11:54:26;2022-04-06T22:28:35;FRENCH
8;2022-04-07T02:20:19;2022-04-06T22:56:08;FRENCH
9;2022-04-07T03:11:57;2022-04-07T14:43:23;FRENCH
10;2022-04-06T23:08:55;2022-04-07T16:06:24;FRENCH
